title,type,release_year,nlp_text,listed_in,vader_compound,vader_label,spacy_pos_prob,spacy_label,review_join
Money Heist: From Tokyo to Berlin,TV Show,2021,"The filmmakers and actors behind ""Money Heist"" characters like Tokyo and the Professor talk about the emotional artistic process of filming the series.","Docuseries, International TV Shows, Spanish-Language TV Shows",0.01914905547610224,NEUTRAL,0.6452295928367483,POSITIVE,Interesting plot
Sharkdog,TV Show,2021,"Half shark, half dog with a big heart and a belly full of fish sticks! Together, Sharkdog and his human pal Max can take on any silly or messy adventure.",Kids' TV,-0.7963765845159946,NEGATIVE,0.673737158922883,POSITIVE,Interesting plot
Worth,Movie,2021,"In the wake of the Sept. 11 attacks, a lawyer faces an emotional reckoning as he attempts to put a dollar value on the lives lost. Based on real events.",Dramas,-0.42964417939764543,NEGATIVE,0.4741103785285052,NEGATIVE,Interesting plot
Afterlife of the Party,Movie,2021,Cassie lives to party... until she dies in a freak accident. Now this social butterfly needs to right her wrongs on Earth if she wants to earn her wings.,"Comedies, Romantic Movies",-0.6072857681678807,NEGATIVE,0.21690970920420014,NEGATIVE,Interesting plot
Anjaam,Movie,1994,"A wealthy industrialist’s dangerous obsession with a flight attendant destroys her world, until she takes matters into her own hands to exact revenge.","Dramas, International Movies, Thrillers",0.6728196297010454,POSITIVE,0.0031607770368365516,NEGATIVE,
Bright Star,Movie,2009,This drama details the passionate three-year romance between Romantic poet John Keats – who died tragically at age 25 – and his great love and muse.,"Dramas, Romantic Movies",0.8520586671894552,POSITIVE,0.28438684560460664,NEGATIVE,Interesting plot
Dhanak,Movie,2015,A movie-loving 10-year-old and her blind little brother trek to meet Indian superstar Shah Rukh Khan for help in getting the boy an eye operation.,"Comedies, Dramas, Independent Movies",-0.45518289866279416,NEGATIVE,0.007153798594873817,NEGATIVE,
Final Account,Movie,2021,This documentary stitches together never-before-seen interviews with the last living generation of people who participated in Hitler's Third Reich.,Documentaries,-0.9167851120971109,NEGATIVE,0.6348496937739778,POSITIVE,Interesting plot
Gurgaon,Movie,2017,"When the daughter of a wealthy family returns from college, she gets a frosty welcome from her brother, who has problems – and plans – of his own.","Dramas, International Movies, Thrillers",0.675814008264759,POSITIVE,0.5395954105862406,POSITIVE,Interesting plot
Here and There,Movie,2020,"After meeting through a heated exchange on social media, two people with different backgrounds begin an online romance in the midst of a pandemic.","Dramas, International Movies, Romantic Movies",-0.7245056344486087,NEGATIVE,0.6910939886446795,POSITIVE,Interesting plot
Heroes of Goo Jit Zu,TV Show,2021,"After a meteor crash, a group of zoo animals transforms into squishy, gooey and stretchy superheroes with special powers and soon takes on evildoers.","Kids' TV, TV Comedies",0.07150105784449279,POSITIVE,0.5289398263043118,POSITIVE,Interesting plot
Hotel Del Luna,TV Show,2019,"When he's invited to manage a hotel for dead souls, an elite hotelier gets to know the establishment's ancient owner and her strange world.","International TV Shows, Romantic TV Shows, TV Comedies",-0.8703494597855838,NEGATIVE,0.7017634358959653,POSITIVE,Interesting plot
In the Cut,Movie,2003,"After embarking on an affair with the cop probing the murder of a young woman, an insular schoolteacher suspects her lover was involved in the crime.",Thrillers,0.18126859915937965,POSITIVE,0.5693950242291659,POSITIVE,Interesting plot
Luv Kushh,TV Show,2012,"Based on the last book of the epic Ramayana, this series follows the endeavors and adventures of Lord Rama’s twin sons through their childhood.",Kids' TV,0.5295377996586119,POSITIVE,0.9476530358539086,POSITIVE,Great movie || Loved it
Pororo - The Little Penguin,TV Show,2013,"On a tiny island, Pororo the penguin has fun adventures with his friends Eddy the fox, Loopy the beaver, Poby the polar bear and Crong the dinosaur.","Kids' TV, Korean TV Shows",-0.7647140533115515,NEGATIVE,0.8107905571374089,POSITIVE,Great movie || Loved it
Q-Force,TV Show,2021,"A gay superspy and his scrappy LGBTQ squad fight to prove themselves to the agency that underestimated them. Today, West Hollywood… tomorrow, the world!","Crime TV Shows, TV Action & Adventure, TV Comedies",0.02670744457903962,NEUTRAL,0.09978369486047507,NEGATIVE,
Shikara,Movie,2020,A couple must strive to remain resilient after regional hostilities drive them from their beloved home into a refugee camp.,"Dramas, International Movies, Romantic Movies",0.4031797608833714,POSITIVE,0.7515633492152122,POSITIVE,Interesting plot
A Cinderella Story,Movie,2004,Teen Sam meets the boy of her dreams at a dance before returning to toil in her stepmother's diner. Can her lost cell phone bring them together?,"Children & Family Movies, Comedies",-0.21004434004659867,NEGATIVE,0.6112332191810089,POSITIVE,Interesting plot
Agatha Christie's Crooked House,Movie,2017,"When a detective investigates the death of his ex-lover's grandfather, he uncovers secrets about the tycoon's manipulative family.","Dramas, International Movies, Thrillers",0.5672438474295762,POSITIVE,0.95696608371962,POSITIVE,Great movie || Loved it
An Unfinished Life,Movie,2005,"A grieving widow and her daughter move in with her estranged father-in-law in Wyoming, where time allows them to heal and forgive.",Dramas,-0.9996561231090818,NEGATIVE,0.3182582550957469,NEGATIVE,Interesting plot
Barbie Big City Big Dreams,Movie,2021,"At a summer performing arts program in New York City, Barbie from Malibu meets Barbie from Brooklyn, and the two become fast friends.","Children & Family Movies, Music & Musicals",-0.6579080139421644,NEGATIVE,0.5881082754554479,POSITIVE,Interesting plot
Blade Runner: The Final Cut,Movie,1982,"In a smog-choked dystopian Los Angeles, blade runner Rick Deckard is called out of retirement to snuff a quartet of escaped ""replicants.""","Action & Adventure, Classic Movies, Cult Movies",0.6017056926157571,POSITIVE,0.8510564088008964,POSITIVE,Great movie || Loved it
Brave Animated Series,TV Show,2021,A group of superheroes sets out to rid the world of evil — only to realize they may not be standing on the side of justice. Based on a popular comic.,"International TV Shows, TV Action & Adventure, TV Comedies",0.42192774578508163,POSITIVE,0.5094698624474625,POSITIVE,Interesting plot
Chappie,Movie,2015,"In a futuristic society where an indestructible robot police force keeps crime at bay, a lone droid evolves to the next level of artificial intelligence.","Action & Adventure, Sci-Fi & Fantasy",-0.23365749168062055,NEGATIVE,0.47653999633075206,NEGATIVE,Interesting plot
Clear and Present Danger,Movie,1994,"When the president's friend is murdered, CIA Deputy Director Jack Ryan becomes unwittingly involved in an illegal war against a Colombian drug cartel.","Action & Adventure, Dramas",0.9241778063411308,POSITIVE,0.05633752887517622,NEGATIVE,
Cliffhanger,Movie,1993,"Ranger Gabe Walker and his partner are called to rescue a group of stranded climbers, only to learn the climbers are actually thieving hijackers.",Action & Adventure,0.6453307828971488,POSITIVE,0.28265566804508113,NEGATIVE,Interesting plot
Cold Mountain,Movie,2003,"This drama follows a wounded Civil War soldier making the long journey home, while his faraway love fights for survival on her deceased father's farm.","Dramas, Romantic Movies",0.9597710664290402,POSITIVE,0.6496955302193983,POSITIVE,Interesting plot
Crocodile Dundee in Los Angeles,Movie,2001,"When Mick ""Crocodile"" Dundee and his family land in Los Angeles, they soon learn some lessons about American life in this comedy sequel.","Action & Adventure, Comedies",-0.6720015806313608,NEGATIVE,0.10521501724264003,NEGATIVE,
Dear John,Movie,2010,"While on summer leave, a U.S. soldier falls for a college student. But when he's forced to reenlist, their handwritten letters hold the lovers together.","Dramas, Romantic Movies",-0.9015198792101629,NEGATIVE,0.9752199426235677,POSITIVE,Great movie || Loved it
Do the Right Thing,Movie,1989,"On a sweltering day in Brooklyn, simmering racial tensions between residents rise to the surface and ignite rage, violence and tragedy.","Classic Movies, Comedies, Dramas",0.3831578766422248,POSITIVE,0.8235253963674245,POSITIVE,Great movie || Loved it
"El patrón, radiografía de un crimen",Movie,2014,A lawyer defends an illiterate man whose exploitation by a cruel boss while working as a butcher in Buenos Aires led to tragedy. Based on a true case.,"Dramas, International Movies, Thrillers",-0.11165575802131922,NEGATIVE,0.1347208798711004,NEGATIVE,
Extraction,Movie,2015,"When a retired CIA agent is kidnapped, his son, a government analyst, embarks on an unauthorized mission to find him and halt a terrorist plot.",Action & Adventure,-0.1995594308710562,NEGATIVE,0.07564745705473411,NEGATIVE,
Freedom Writers,Movie,2007,"While her at-risk students are reading classics such as ""The Diary of Anne Frank,"" a teacher asks them to keep journals about their troubled lives.",Dramas,0.9430148117111565,POSITIVE,0.5233347601078765,POSITIVE,Interesting plot
Green Lantern,Movie,2011,Test pilot Hal Jordan harnesses glowing new powers for good when he wears an otherworldly ring and helps an intergalactic force stop a powerful threat.,"Action & Adventure, Sci-Fi & Fantasy",-0.3358215324896904,NEGATIVE,0.9762274380717956,POSITIVE,Great movie || Loved it
House Party,Movie,1990,"Grounded by his strict father, Kid risks life and limb to go to his best friend Play's big bash but experiences one obstacle after another.","Comedies, Cult Movies",0.7793773267835791,POSITIVE,0.9344598310846974,POSITIVE,Great movie || Loved it
House Party 2,Movie,1991,"Kid goes off to college with scholarship money but when Play loses Kid's tuition funds to a shady music promoter, they devise a wild plan to raise cash.","Comedies, Cult Movies, Music & Musicals",0.4416893602911591,POSITIVE,0.3670052279175737,NEGATIVE,Interesting plot
House Party 3,Movie,1994,"After Kid gets engaged, Play plans to throw the biggest bachelor party ever. But every celebration for these two always comes with complications.","Comedies, Music & Musicals",0.8739460333888294,POSITIVE,0.11952418208111175,NEGATIVE,
How to Be a Cowboy,TV Show,2021,"Dale Brisby uses social media savvy and rodeo skills to keep cowboy traditions alive — and now he's teaching the world how to cowboy right, ol' son.",Reality TV,-0.08407734359709484,NEGATIVE,0.5002110745991141,POSITIVE,Interesting plot
HQ Barbers,TV Show,2020,"When a family run barber shop in the heart of Lagos is threatened by real estate developers, they'll do whatever it takes to stay in business.",TV Shows,-0.8643844909650238,NEGATIVE,0.4803194083460419,NEGATIVE,Interesting plot
I Got the Hook Up,Movie,1998,"After getting their hands on a misdirected shipment of cell phones, two hustlers try to cash in by hawking the merchandise from the back of their van.","Action & Adventure, Comedies",-0.5696895917806983,NEGATIVE,0.40009382376449504,NEGATIVE,Interesting plot
In Too Deep,Movie,1999,"Rookie cop Jeffrey Cole poses as a drug dealer to take down a crime lord and soon gets caught up in an underworld of bribery, intimidation and murder.",Thrillers,0.6790476012227702,POSITIVE,0.6908058949491954,POSITIVE,Interesting plot
Initial D,Movie,2005,"By day, an 18-year-old delivers tofu for his father, a retired race car driver; but by night, it's the teen's turn to take the wheel.","Action & Adventure, International Movies",-0.172474120085238,NEGATIVE,0.16797891705482706,NEGATIVE,
Janoskians: Untold and Untrue,Movie,2016,Follow the story of three Australian brothers and their two friends who became an international sensation by posting pranks and gags on YouTube.,Comedies,-0.48907981381963006,NEGATIVE,0.24374603625474173,NEGATIVE,Interesting plot
Kid-E-Cats,TV Show,2016,"Cookie, Pudding and Candy are kitten siblings whose favorite things are sweet treats and letting their curiosity lead them on adventures in learning.",Kids' TV,0.25650217553053567,POSITIVE,0.3131424340682902,NEGATIVE,Interesting plot
Kuroko's Basketball,TV Show,2015,"Five middle school basketball stars went to separate high schools, and now Tetsuya Kuroko and Seirin High are making their play for glory.","Anime Series, International TV Shows, Teen TV Shows",-0.24247921287139862,NEGATIVE,0.7451780416875096,POSITIVE,Interesting plot
Labyrinth,Movie,1986,"In Jim Henson's fantasy, teen Sarah embarks on a life-altering quest to rescue her little brother from the clutches of a treacherous goblin.","Action & Adventure, Children & Family Movies, Cult Movies",0.3656148643618484,POSITIVE,0.7786687742403403,POSITIVE,Interesting plot
Letters to Juliet,Movie,2010,"By responding to a letter addressed to Shakespeare's tragic heroine Juliet Capulet, an American woman in Verona, Italy, is led in search of romance.","Comedies, Dramas, Romantic Movies",0.2598761798022027,POSITIVE,0.34148172739462035,NEGATIVE,Interesting plot
Level 16,Movie,2018,"In a bleak academy that teaches girls the virtues of passivity, two students uncover the ghastly purpose behind their training and resolve to escape.","Sci-Fi & Fantasy, Thrillers",-0.4554291757418376,NEGATIVE,0.44059832823476713,NEGATIVE,Interesting plot
Love Don't Cost a Thing,Movie,2003,A nerdy teen tries to make himself cool by association when he convinces a popular cheerleader to pose as his girlfriend.,"Comedies, Romantic Movies",-0.0600676315510803,NEGATIVE,0.6164976704438444,POSITIVE,Interesting plot
Love in a Puff,Movie,2010,"When the Hong Kong government enacts a ban on smoking cigarettes indoors, the new law drives hard-core smokers outside, facilitating unlikely connections.","Comedies, Dramas, International Movies",0.2790086658855455,POSITIVE,0.4924818439158802,NEGATIVE,Interesting plot
Major Dad,TV Show,1992,"When he marries a journalist and becomes stepdad to her daughters, a U.S. Marine finds his once-orderly life no longer entirely under his command.",TV Comedies,0.17833778336139816,POSITIVE,0.9913893174360016,POSITIVE,Great movie || Loved it
Mars Attacks!,Movie,1996,"As flying saucers head for Earth, the president of the United States prepares to welcome alien visitors but soon learns they're not coming in peace.","Comedies, Cult Movies, Sci-Fi & Fantasy",0.0796498221065034,POSITIVE,0.30805212080200484,NEGATIVE,Interesting plot
Marshall,Movie,2017,"This biopic of Thurgood Marshall, the first Black U.S. Supreme Court justice, centers on his pivotal work in a sensational case as an NAACP lawyer.",Dramas,0.1887724821429635,POSITIVE,0.8685834889459851,POSITIVE,Great movie || Loved it
My Boss's Daughter,Movie,2003,"A young man house-sits for his mean boss, hoping to use it as an opportunity to win the heart of the boss's daughter, on whom he's long had a crush.","Comedies, Romantic Movies",0.17157265338384842,POSITIVE,0.6873522113746386,POSITIVE,Interesting plot
Mystery Men,Movie,1999,A team of far-from-super heroes try to earn respect by springing into action when brave and dashing Captain Amazing disappears.,"Action & Adventure, Comedies",0.6666027576817672,POSITIVE,0.9130291326234651,POSITIVE,Great movie || Loved it
Oldsters,TV Show,2019,Three friends in their 70s step out of retirement to become a band of outlaws whose mission is to help those let down by the justice system.,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",0.28712121147828196,POSITIVE,0.9677780696581533,POSITIVE,Great movie || Loved it
Once Upon a Time in America,Movie,1984,Director Sergio Leone's sprawling crime epic follows a group of Jewish mobsters who rise in the ranks of organized crime in 1920s New York City.,"Classic Movies, Dramas",0.18614424932425466,POSITIVE,0.939435769091229,POSITIVE,Great movie || Loved it
Open Season 2,Movie,2008,Elliot the buck and his forest-dwelling cohorts must rescue their dachshund pal from some spoiled pets bent on returning him to domesticity.,"Children & Family Movies, Comedies",-0.5300272851088148,NEGATIVE,0.6736636945683657,POSITIVE,Interesting plot
Osmosis Jones,Movie,2001,Peter and Bobby Farrelly outdo themselves with this partially animated tale about an out-of-shape 40-year-old man who's the host to various organisms.,"Action & Adventure, Children & Family Movies, Comedies",0.13237604199265496,POSITIVE,0.2063876986984135,NEGATIVE,Interesting plot
Poseidon,Movie,2006,"A tidal wave spells disaster for a ship of New Year's Eve revelers when it capsizes the mammoth vessel, sending passengers into a battle for survival.","Action & Adventure, Dramas",-0.9724735687422738,NEGATIVE,0.8538042786190762,POSITIVE,Great movie || Loved it
Rhyme & Reason,Movie,1997,"The world and culture of rap song topics such as race, violence, police, family and sex are examined by hip-hop performers from both coasts.","Documentaries, Music & Musicals",0.32032012225136164,POSITIVE,0.7281882457267931,POSITIVE,Interesting plot
Same Kind of Different as Me,Movie,2017,A wealthy couple whose marriage is on the rocks befriends a local homeless man who changes their perspectives in this inspiring true story.,"Dramas, Faith & Spirituality",0.6783452736396216,POSITIVE,0.10734892010394226,NEGATIVE,
School of Rock,Movie,2003,"Musician Dewey Finn gets a job as a fourth-grade substitute teacher, where he secretly begins teaching his students the finer points of rock 'n' roll.","Comedies, Music & Musicals",0.7152332495234983,POSITIVE,0.10737147859934984,NEGATIVE,
Snervous Tyler Oakley,Movie,2015,"The inspiring Internet star and LGBT advocate shares an intimate view of his life and relationships during his international ""Slumber Party"" tour.","Documentaries, LGBTQ Movies",-0.11037370029612759,NEGATIVE,0.40792796234784834,NEGATIVE,Interesting plot
Tears of the Sun,Movie,2003,"A Navy SEAL is sent to a war-torn African jungle to rescue a doctor, only to realize he must also save the refugees in the physician's care.","Action & Adventure, Dramas",-0.5951666560944092,NEGATIVE,0.5020592730729979,POSITIVE,Interesting plot
The Blue Lagoon,Movie,1980,"Two shipwrecked children, stranded for years on a deserted island, fall in love as teenagers and attempt to forge a life in the isolated paradise.","Dramas, Romantic Movies",0.7240264200894224,POSITIVE,0.807202806418576,POSITIVE,Great movie || Loved it
The Golden Child,Movie,1986,A fast-talking L.A. social worker goes through a series of traps and terrors to find a kidnapped Tibetan child with mystical powers.,"Action & Adventure, Comedies",-0.8997867475030448,NEGATIVE,0.7516373253314843,POSITIVE,Interesting plot
The Guns of Navarone,Movie,1961,"During World War II, British forces launch an attack designed to take out the massive Nazi cannons that guard a critical sea channel.","Action & Adventure, Classic Movies",-0.9368709102126004,NEGATIVE,0.18034786781769896,NEGATIVE,
The Interview,Movie,2014,Seth Rogen and James Franco star in this provocative comedy about two journalists recruited by the CIA after they arrange an interview with Kim Jong-un.,"Action & Adventure, Comedies",0.06941961894496806,POSITIVE,0.8700084970030022,POSITIVE,Great movie || Loved it
The Nutty Professor,Movie,1996,"After being made fun of for his weight, a kind and brainy professor takes a dose of a revolutionary formula that changes more than just his appearance.","Comedies, Romantic Movies",0.6484003997520544,POSITIVE,0.6889558883125325,POSITIVE,Interesting plot
The Nutty Professor II: The Klumps,Movie,2000,"After getting engaged, Sherman Klump prepares for his big day. But his sinister alter ego Buddy Love threatens to ruin his wedding and reputation.","Comedies, Romantic Movies",-0.80223902356863,NEGATIVE,0.6018856688406984,POSITIVE,Interesting plot
Turning Point: 9/11 and the War on Terror,TV Show,2021,"This unflinching series documents the 9/11 terrorist attacks, from Al Qaeda's roots in the 1980s to America's response, both at home and abroad.",Docuseries,0.41018908922797737,POSITIVE,0.7761883905102006,POSITIVE,Interesting plot
Welcome Home Roscoe Jenkins,Movie,2008,"R.J. travels to Georgia for his parents' 50th anniversary. But after pompously flaunting his Hollywood lifestyle, he must examine what he's become.",Comedies,-0.0032909673180643306,NEUTRAL,0.07824346122291019,NEGATIVE,
In the Line of Fire,Movie,1993,A twisted yet ingenious killer torments a veteran Secret Service agent who's haunted by his failure years ago to save President John F. Kennedy.,"Action & Adventure, Classic Movies",-0.217114335675052,NEGATIVE,0.45337202433808055,NEGATIVE,Interesting plot
Sparking Joy,TV Show,2021,"In this reality series, Marie Kondo brings her joyful tidying tactics to people struggling to balance work and home life — and shares her own world.",Reality TV,-0.46402377436496867,NEGATIVE,0.7711086202811237,POSITIVE,Interesting plot
Untold: Crime & Penalties,Movie,2021,"They were the bad boys of hockey — a team bought by a man with mob ties, run by his 17-year-old son, and with a rep for being as violent as they were good.","Documentaries, Sports Movies",0.42639144822638286,POSITIVE,0.7356278681512055,POSITIVE,Interesting plot
Hometown Cha-Cha-Cha,TV Show,2021,"A big-city dentist opens up a practice in a close-knit seaside village, home to a charming jack-of-all-trades who is her polar opposite in every way.","International TV Shows, Romantic TV Shows, TV Comedies",0.798567459871659,POSITIVE,0.21303576235962934,NEGATIVE,Interesting plot
The Ingenuity of the Househusband,TV Show,2021,A tough guy with a knack for housework tackles household tasks with meticulous care in these comedic live-action vignettes.,"International TV Shows, TV Comedies",0.918960177320745,POSITIVE,0.5412579114877754,POSITIVE,Interesting plot
2 Alone in Paris,Movie,2008,"A bumbling Paris policeman is doggedly determined to capture the master thief that repeatedly eludes him, even when they're the last two men on Earth.","Comedies, International Movies",-0.8695210688443671,NEGATIVE,0.2632209372853909,NEGATIVE,Interesting plot
Bread Barbershop,TV Show,2020,"In a town filled with food, Bread is a master cake decorator who gives life-changing makeovers that will put any customer in an amazing mood.","Kids' TV, TV Comedies",0.5134296322971186,POSITIVE,0.05804975844408613,NEGATIVE,
Thimmarusu,Movie,2021,"Eight years after a young man is framed for murder, an up-and-coming lawyer re-opens the case, beginning a tricky mission to find the real culprit.","Dramas, International Movies",0.4176643456839175,POSITIVE,0.6621260511833537,POSITIVE,Interesting plot
Wind River,Movie,2017,A tracker with the U.S. Fish and Wildlife Service assists a rookie FBI agent who's investigating a teen girl's murder on a remote Wyoming reservation.,"Dramas, Independent Movies",0.7955194022030383,POSITIVE,0.9493234178399024,POSITIVE,Great movie || Loved it
C Kkompany,Movie,2008,"Three broke friends pose as an underworld gang for extortion, but their plan takes on a life of its own when their phony company becomes famous.","Action & Adventure, Comedies, International Movies",0.6523718958842504,POSITIVE,0.3200924127176619,NEGATIVE,Interesting plot
D.P.,TV Show,2021,A young private’s assignment to capture army deserters reveals the painful reality endured by each enlistee during his compulsory call of duty.,"International TV Shows, TV Dramas",-0.9101011655084092,NEGATIVE,0.10041796534797595,NEGATIVE,
Deadly Sins,TV Show,2002,A multimillionaire fakes his death and forces his relatives to live together in his mansion for one year to see who's worthy of inheriting his fortune.,"International TV Shows, Spanish-Language TV Shows, TV Dramas",0.42287061210322907,POSITIVE,0.9088515427217008,POSITIVE,Great movie || Loved it
EMI: Liya Hai To Chukana Padega,Movie,2008,A bank hires an enigmatic and unorthodox debt collector to recover money from four borrowers who are unable to pay their loans.,"Comedies, Dramas, International Movies",-0.17687049209533034,NEGATIVE,0.22345094364682466,NEGATIVE,Interesting plot
He's All That,Movie,2021,"An influencer specializing in makeovers bets she can transform an unpopular classmate into prom king in this remake of the teen classic ""She's All That.""","Comedies, Romantic Movies",0.8577274628583638,POSITIVE,0.8908664181108741,POSITIVE,Great movie || Loved it
I Heart Arlo,TV Show,2021,It's a whole new world for Arlo and his one-of-a kind pals when they set out to restore a run-down New York City neighborhood — and make it their own.,"Kids' TV, TV Comedies",-0.2824689800111737,NEGATIVE,0.7981282236981504,POSITIVE,Interesting plot
King of Boys: The Return of the King,TV Show,2021,"Alhaja Eniola Salami starts anew and sets her sights on a different position of power, fueled by revenge, regret and ruthlessness.","Crime TV Shows, International TV Shows, TV Dramas",0.13397322714654103,POSITIVE,0.6710421255955105,POSITIVE,Interesting plot
Koi Aap Sa,Movie,2006,"Star athlete Rohan has his eye on a beautiful art student. But when his best friend Simran experiences a crisis, he drops everything to help her.","Comedies, Dramas, International Movies",0.3450412082823555,POSITIVE,0.7688417653014981,POSITIVE,Interesting plot
Krishna Cottage,Movie,2004,True love is put to the test when another woman comes between a pair of star-crossed young lovers in this thriller.,"Action & Adventure, Horror Movies, International Movies",-0.9160548806926363,NEGATIVE,0.828184355243152,POSITIVE,Great movie || Loved it
Kucch To Hai,Movie,2003,"A student tries to steal a test from a teacher's home, leaving him for dead after an accident. A string of murders may be the professor's revenge.","Dramas, International Movies, Thrillers",0.6929719535850389,POSITIVE,0.9902645398374331,POSITIVE,Great movie || Loved it
Kyaa Kool Hai Hum,Movie,2005,"Longtime friends Rahul and Karan head to Mumbai intent on making their dreams come true, but both men are suddenly saddled with bad luck.","Comedies, International Movies, Music & Musicals",-0.8081478587836372,NEGATIVE,0.9740334523315619,POSITIVE,Great movie || Loved it
Kyaa Kool Hain Hum 3,Movie,2016,"When an unlikely porn actor falls for a woman outside the industry, he employs his co-stars as a stand-in traditional family to impress her father.","Comedies, International Movies",-0.5744711928010153,NEGATIVE,0.0004682389554726516,NEGATIVE,
Kyaa Super Kool Hain Hum,Movie,2012,An aspiring actor and a struggling DJ team up to pursue the ladies they love and a diamond that rightfully belongs to their oversexed dog.,"Comedies, International Movies",0.7105151828635752,POSITIVE,0.5473998108756263,POSITIVE,Interesting plot
Kyo Kii... Main Jhuth Nahin Bolta,Movie,2001,The life and career of a lawyer are thrown into chaos when his son's wish magically renders him incapable of telling a lie.,"Comedies, International Movies, Sci-Fi & Fantasy",-0.5308274127381918,NEGATIVE,0.5218486207355393,POSITIVE,Interesting plot
"LSD: Love, Sex Aur Dhokha",Movie,2010,This provocative drama examines how the voyeuristic nature of modern society affects three unusual couples in Northern India.,"Dramas, Independent Movies, International Movies",-0.1247412206429851,NEGATIVE,0.49025444953941144,NEGATIVE,Interesting plot
Mission Istaanbul: Darr Ke Aagey Jeet Hai,Movie,2008,A television journalist makes a risky career move by accepting a job offer from a controversial Istanbul television station.,"Action & Adventure, International Movies, Music & Musicals",-0.8886329303236289,NEGATIVE,0.5028613921028705,POSITIVE,Interesting plot
Once Upon a Time in Mumbaai,Movie,2010,"Mumbai's top mob boss rules the underworld with honor and compassion, but his power-hungry protégé will shake up the world of organized crime.","Dramas, International Movies, Music & Musicals",0.9713290925070943,POSITIVE,0.04778725817980879,NEGATIVE,
Once Upon a Time in Mumbai Dobaara!,Movie,2013,"This turbulent sequel to Once Upon a Time in Mumbai carries on the saga of the gangland don Shoaib Khan, who continues pressing for more control.","Dramas, International Movies, Music & Musicals",0.4240193561241077,POSITIVE,0.016534762926524216,NEGATIVE,
Ragini MMS,Movie,2011,A couple out to have a sensuous weekend at a house outside of Mumbai finds it rigged with surveillance cameras and occupied by an evil entity.,"Horror Movies, International Movies",0.693212831787116,POSITIVE,0.6131859304414098,POSITIVE,Interesting plot
Ragini MMS 2,Movie,2014,The horror continues when Ragini's video goes viral and a sleazy director decides to make a movie about the incident in the original house.,"Horror Movies, International Movies",0.5737791381715283,POSITIVE,0.6113503574420117,POSITIVE,Interesting plot
Rebellion,TV Show,2016,"As World War I rages, three women and their families in Dublin choose sides in the violent Easter Rising revolt against British rule.","International TV Shows, TV Dramas",0.49994488467926734,POSITIVE,0.5486004435337616,POSITIVE,Interesting plot
RIDE ON TIME,TV Show,2021,Take a deep dive into the beautiful world of Japan's top male idol groups from number one producer Johnny's in this revealing docuseries.,"Docuseries, International TV Shows",-0.966800200745184,NEGATIVE,0.8878804386798014,POSITIVE,Great movie || Loved it
SAS: Rise of the Black Swan,Movie,2021,"A special forces operative traveling from London to Paris with his girlfriend takes action when armed, ruthless mercenaries seize control of their train.","Action & Adventure, International Movies",-0.9587845411055685,NEGATIVE,0.5632532717574512,POSITIVE,Interesting plot
Shootout at Lokhandwala,Movie,2007,"Based on a true story, this action film follows an incident that stunned a nation in the early 1990s. In Mumbai, India, the notorious gangster Maya holds off veteran cop Khan and a force of more than 200 policemen in a six-hour bloody gunfight.","Action & Adventure, Dramas, International Movies",0.5258316717869209,POSITIVE,0.0728675122542464,NEGATIVE,
Shor In the City,Movie,2011,"When three small-time Mumbai crooks steal a bag on a train, they find that it's filled with weapons and realize that their lives may be in danger.","Comedies, Dramas, Independent Movies",0.8986926614070994,POSITIVE,0.9072553911030421,POSITIVE,Great movie || Loved it
The Dirty Picture,Movie,2011,"After running away from home in search of movie stardom, a village girl rises to become a prominent sex symbol.","Comedies, Dramas, International Movies",-0.9799445168999826,NEGATIVE,0.991718970470065,POSITIVE,Great movie || Loved it
Titletown High,TV Show,2021,"In a Georgia town where football rules and winning is paramount, a high school team tackles romance, rivalries and real life while vying for a title.","Reality TV, Teen TV Shows",0.8064407160986309,POSITIVE,0.448544042755045,NEGATIVE,Interesting plot
EDENS ZERO,TV Show,2021,"Aboard the Edens Zero, a lonely boy with the ability to control gravity embarks on an adventure to meet the fabled space goddess known as Mother.","Anime Series, International TV Shows",-0.36110197365309626,NEGATIVE,0.10059093011091252,NEGATIVE,
Family Reunion,TV Show,2021,"When the McKellan family moves from Seattle to small-town Georgia, life down South – and traditional grandparents – challenge their big-city ways.","Kids' TV, TV Comedies",-0.6544284111946888,NEGATIVE,0.3607299228573055,NEGATIVE,Interesting plot
"Bob Ross: Happy Accidents, Betrayal & Greed",Movie,2021,Bob Ross brought joy to millions as the world’s most famous art instructor. But a battle for his business empire cast a shadow over his happy trees.,Documentaries,0.32092760906576356,POSITIVE,0.4804058849067441,NEGATIVE,Interesting plot
Clickbait,TV Show,2021,"When family man Nick Brewer is abducted in a crime with a sinister online twist, those closest to him race to uncover who is behind it and why.","Crime TV Shows, TV Dramas, TV Mysteries",-0.26060537557597396,NEGATIVE,0.9053165924049255,POSITIVE,Great movie || Loved it
John of God: The Crimes of a Spiritual Healer,TV Show,2021,"Idolized medium João Teixeira de Faria rises to international fame before horrifying abuse is revealed by survivors, prosecutors and the press.","Crime TV Shows, Docuseries, International TV Shows",0.8692890167863316,POSITIVE,0.2953230567032758,NEGATIVE,Interesting plot
